id,Covariate,lq,me,mean,uq,n,sd,se,inv_se,sex,strategy
1060,habitat_end,-0.44063357,-0.346974071,-0.346889068,-0.252825212,1000,0.046165771,0.00145989,469201.9618,F,Allocentric
1060,habitat_log_sl_,-0.223441351,-0.14204119,-0.140763879,-0.054953145,1000,0.043207512,0.001366341,535650.4674,F,Allocentric
1060,habitat_start_cos_ta,-0.770108693,-0.704612109,-0.704316873,-0.635570367,1000,0.034159786,0.001080227,856978.0831,F,Allocentric
1060,habitat_start_sl_,0.00946315,0.013846151,0.013757167,0.017705999,1000,0.002174078,6.88E-05,211567894.4,F,Allocentric
1060,log_RSS_wood2other,-0.44063357,-0.346974071,-0.346889068,-0.252825212,1000,0.046165771,0.00145989,469201.9618,F,Allocentric
1060,log_sl_,0.019660285,0.094573881,0.095190995,0.179572036,1000,0.041030278,0.001297491,594006.3382,F,Allocentric
1060,mean_speed_other,23.72235176,24.67978268,24.67051208,25.58231308,1000,0.477456502,0.0150985,4386.643858,F,Allocentric
1060,mean_speed_wood,20.71696009,21.32303735,21.32611282,21.94543954,1000,0.317818098,0.010050291,9900.172281,F,Allocentric
1060,sl_,-0.012606245,-0.007137282,-0.007189902,-0.002503795,1000,0.002577953,8.15E-05,150470050.6,F,Allocentric
1061,cos_ta_,-0.816881745,-0.713429955,-0.713940869,-0.609571141,1000,0.053335737,0.001686624,351530.8083,F,Egocentric
1061,dist_feedr,-0.025869386,-0.01799679,-0.018159689,-0.010111521,1000,0.004044821,0.000127908,61122532.66,F,Egocentric
1061,habitat_end,-0.963614733,-0.675718495,-0.678177989,-0.404699973,1000,0.140567072,0.004445121,50609.58822,F,Egocentric
1061,habitat_log_sl_,0.738910801,1.441725324,1.513117739,2.823105743,1000,0.530180672,0.016765785,3557.559874,F,Egocentric
1061,habitat_start_cos_ta,-1.225822893,-0.908109877,-0.920286174,-0.665891671,1000,0.141656441,0.00447957,49834.18373,F,Egocentric
1061,habitat_start_sl_,-0.087510366,-0.036520243,-0.038498272,-0.004907199,1000,0.020482701,0.00064772,2383557.079,F,Egocentric
1061,log_RSS_wood2other,-0.963614733,-0.675718495,-0.678177989,-0.404699973,1000,0.140567072,0.004445121,50609.58822,F,Egocentric
1061,log_sl_,-0.264200483,-0.05000854,-0.046627878,0.192143588,1000,0.112019311,0.003542362,79691.90467,F,Egocentric
1061,mean_speed_other,22.99722863,25.20281999,25.22388062,27.56217091,1000,1.148826441,0.036329082,757.6893015,F,Egocentric
1061,mean_speed_wood,19.3900155,20.41461178,20.40108528,21.51006456,1000,0.554965381,0.017549546,3246.894783,F,Egocentric
1061,sl_,-0.011616168,0.001924877,0.001696983,0.014262198,1000,0.00661533,0.000209195,22850564.53,F,Egocentric
1066,cos_ta_,-0.953232129,-0.789085187,-0.792798494,-0.64031869,1000,0.079158581,0.002503214,159589.3857,M,Allocentric
1066,dist_feedr,-0.035430091,-0.024189785,-0.024060535,-0.012231469,1000,0.006008161,0.000189995,27702368.78,M,Allocentric
1066,habitat_end,-0.925278551,-0.413311545,-0.433683145,-0.03779101,1000,0.228286668,0.007219058,19188.40605,M,Allocentric
1066,habitat_log_sl_,-0.392556658,0.224823214,0.278977086,1.289146522,1000,0.43523262,0.013763264,5279.066393,M,Allocentric
1066,habitat_start_cos_ta,-1.831301488,-1.046643908,-1.083072507,-0.574799507,1000,0.298224194,0.009430677,11243.82953,M,Allocentric
1066,habitat_start_sl_,-0.041573658,-9.62E-05,-0.001811167,0.027327956,1000,0.017809399,0.000563183,3152836.688,M,Allocentric
1066,log_RSS_wood2other,-0.925278551,-0.413311545,-0.433683145,-0.03779101,1000,0.228286668,0.007219058,19188.40605,M,Allocentric
1066,log_sl_,-0.327848753,-0.05774434,-0.050058468,0.286668028,1000,0.155833092,0.004927875,41179.45761,M,Allocentric
1066,mean_speed_other,20.39234335,24.955698,25.16519774,30.96645869,1000,3.458421569,0.109364893,83.60728832,M,Allocentric
1066,mean_speed_wood,20.94514032,23.09205356,23.05423207,25.31972711,1000,1.108404887,0.03505084,813.9601366,M,Allocentric
1066,sl_,-0.016144117,0.005706427,0.004838103,0.019892177,1000,0.008968166,0.000283598,12433480.07,M,Allocentric
1067,cos_ta_,-0.759009487,-0.650597785,-0.649106596,-0.536850755,1000,0.055684399,0.001760895,322502.3809,M,Egocentric
1067,dist_feedr,-0.009385291,-0.006033749,-0.006014392,-0.002564102,1000,0.001755208,5.55E-05,324595892.3,M,Egocentric
1067,habitat_end,-0.89525755,-0.678061264,-0.678424448,-0.466045816,1000,0.109512475,0.003463089,83382.09672,M,Egocentric
1067,habitat_log_sl_,-0.326053585,-0.151929158,-0.148462354,0.051527117,1000,0.096776434,0.00306034,106772.8338,M,Egocentric
1067,habitat_start_cos_ta,-0.506594097,-0.385232065,-0.385125804,-0.260468882,1000,0.062256378,0.00196872,258007.4812,M,Egocentric
1067,habitat_start_sl_,0.005874649,0.014678495,0.014453757,0.021994141,1000,0.004190861,0.000132527,56936855.52,M,Egocentric
1067,log_RSS_wood2other,-0.89525755,-0.678061264,-0.678424448,-0.466045816,1000,0.109512475,0.003463089,83382.09672,M,Egocentric
1067,log_sl_,0.197117317,0.393650785,0.401903624,0.646586434,1000,0.115013874,0.003637058,75596.12503,M,Egocentric
1067,mean_speed_other,25.62080058,27.4810796,27.52116097,29.41238539,1000,0.948290534,0.02998758,1112.031705,M,Egocentric
1067,mean_speed_wood,19.8432466,21.08862984,21.07818803,22.30217738,1000,0.643709168,0.020355871,2413.35167,M,Egocentric
1067,sl_,-0.045021483,-0.029581844,-0.030085792,-0.018156553,1000,0.007166561,0.000226627,19470560.01,M,Egocentric
1071,cos_ta_,-0.687778497,-0.630185318,-0.630561618,-0.57562836,1000,0.028757517,0.000909393,1209197.493,M,Egocentric
1071,dist_feedr,-0.014742695,-0.012907803,-0.01289378,-0.011007596,1000,0.000923063,2.92E-05,1173645798,M,Egocentric
1071,habitat_end,-0.365265945,-0.272302235,-0.273416335,-0.183451699,1000,0.04646598,0.001469383,463158.6762,M,Egocentric
1071,habitat_log_sl_,-0.158561127,-0.091250072,-0.090070396,-0.017187469,1000,0.035488178,0.001122235,794022.1105,M,Egocentric
1071,habitat_start_cos_ta,-0.635933979,-0.582335751,-0.582533646,-0.531159083,1000,0.026758202,0.000846169,1396645.415,M,Egocentric
1071,habitat_start_sl_,0.007612049,0.010929029,0.010897065,0.014217998,1000,0.001590043,5.03E-05,395532696,M,Egocentric
1071,log_RSS_wood2other,-0.365265945,-0.272302235,-0.273416335,-0.183451699,1000,0.04646598,0.001469383,463158.6762,M,Egocentric
1071,log_sl_,0.092716069,0.182345174,0.185305032,0.290034836,1000,0.049037927,0.001550715,415849.1263,M,Egocentric
1071,mean_speed_other,28.24618289,29.14643879,29.13889797,30.08458859,1000,0.476347502,0.015063431,4407.092998,M,Egocentric
1071,mean_speed_wood,21.62318702,22.36170977,22.3679844,23.13228839,1000,0.38456515,0.012161018,6761.766207,M,Egocentric
1071,sl_,-0.023108549,-0.017304224,-0.017368315,-0.011791494,1000,0.002909854,9.20E-05,118102114.8,M,Egocentric
1072,cos_ta_,-0.573206666,-0.508306628,-0.508764198,-0.441925836,1000,0.033753681,0.001067385,877723.4697,M,Allocentric
1072,dist_feedr,-0.012627961,-0.011029673,-0.011020914,-0.00927134,1000,0.000872879,2.76E-05,1312478991,M,Allocentric
1072,habitat_end,-0.318606028,-0.210658981,-0.209652287,-0.091308,1000,0.057250016,0.001810404,305104.6097,M,Allocentric
1072,habitat_log_sl_,-0.106880385,-0.051583483,-0.049972863,0.014238233,1000,0.030717142,0.000971361,1059835.315,M,Allocentric
1072,habitat_start_cos_ta,-0.418788769,-0.367897358,-0.36786082,-0.319839657,1000,0.025234171,0.000797975,1570442.062,M,Allocentric
1072,habitat_start_sl_,0.003002921,0.005682317,0.005649492,0.008062982,1000,0.001296535,4.10E-05,594883095.7,M,Allocentric
1072,log_RSS_wood2other,-0.318606028,-0.210658981,-0.209652287,-0.091308,1000,0.057250016,0.001810404,305104.6097,M,Allocentric
1072,log_sl_,-0.005967029,0.095351113,0.097432169,0.20935396,1000,0.055810066,0.001764869,321051.6646,M,Allocentric
1072,mean_speed_other,27.98226263,28.74536886,28.74683924,29.5678182,1000,0.396505201,0.012538595,6360.660622,M,Allocentric
1072,mean_speed_wood,22.49659525,23.48437233,23.46781508,24.36597841,1000,0.491416683,0.01553996,4140.95211,M,Allocentric
1072,sl_,-0.018981494,-0.012506022,-0.012601285,-0.007171163,1000,0.003063513,9.69E-05,106551745,M,Allocentric
1085,cos_ta_,-0.846083848,-0.759251281,-0.759870307,-0.675103014,1000,0.044800312,0.00141671,498239.2354,M,Allocentric
1085,dist_feedr,-0.023167689,-0.019424268,-0.01942098,-0.015828601,1000,0.001900667,6.01E-05,276813948.4,M,Allocentric
